מקור	יחידה	תביעות	צרכים	נפסלו-בהמצאה	מתגי-בעלים	ms	הערה
ב·specs	showcase	13	0	0	14	182	אגרגציה-בלי-אות-סימן/אין-ישות/ישות-בלי-שקע
ב·specs	states	1	0	0	1	32	ישות-לא-מוכרעת
ב·specs	team	1	0	0	2	15	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ב·specs	text	1	0	0	1	26	אין-ישות
ב·specs	viz	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	widgets	4	0	0	4	47	אין-ישות/ישות-בלי-שקע
ג·mosad	mosad.sentences:1	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:2	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:3	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:4	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:5	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:6	1	0	0	1	16	ישות-בלי-שקע
ג·mosad	mosad.sentences:8	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:9	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:10	1	0	0	1	18	ישות-בלי-שקע
ג·mosad	mosad.sentences:11	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:12	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:13	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:14	1	0	0	1	8	אין-ישות
ג·mosad	mosad.sentences:15	1	0	0	1	14	אין-ישות
ג·mosad	mosad.sentences:16	1	0	0	1	11	ישות-בלי-שקע
ג·mosad	mosad.sentences:17	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:18	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:19	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:20	3	0	0	3	14	אין-ישות
ג·mosad	mosad.sentences:21	1	0	0	1	22	ישות-בלי-שקע
ג·mosad	mosad.sentences:22	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:23	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:24	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:25	2	0	0	4	13	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע/אין-ישות
ג·mosad	mosad.sentences:26	1	0	0	1	7	אין-ישות
ג·mosad	mosad.sentences:27	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:28	1	0	0	1	13	ישות-בלי-שקע
ג·mosad	mosad.sentences:29	1	0	0	1	12	ישות-בלי-שקע
ג·mosad	mosad.sentences:30	1	0	0	1	8	אין-ישות
ג·mosad	mosad.sentences:31	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:32	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:33	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:34	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:36	1	0	0	1	27	ישות-בלי-שקע
ג·mosad	mosad.sentences:37	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:38	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:39	1	0	0	1	9	אין-ישות
ג·mosad	mosad.sentences:40	1	0	0	1	9	אין-ישות
ג·mosad	mosad.sentences:41	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:42	1	0	0	1	15	ישות-בלי-שקע
ג·mosad	mosad.sentences:43	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:44	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:45	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:47	1	1	0	1	25	תביעה-חלקית
ג·mosad	mosad.sentences:48	1	1	0	1	30	תביעה-חלקית
ג·mosad	mosad.sentences:49	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:50	1	1	0	1	24	תביעה-חלקית
ג·mosad	mosad.sentences:51	1	1	0	1	26	תביעה-חלקית
ג·mosad	mosad.sentences:52	1	1	0	1	26	תביעה-חלקית
ג·mosad	mosad.sentences:53	1	1	0	1	20	תביעה-חלקית
ג·mosad	mosad.sentences:54	1	0	0	1	13	אין-ישות
ג·mosad	mosad.sentences:55	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:56	1	1	0	1	23	תביעה-חלקית
ג·mosad	mosad.sentences:57	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:58	1	1	0	1	26	תביעה-חלקית
ג·mosad	mosad.sentences:59	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:60	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:61	1	1	0	1	29	תביעה-חלקית
ג·mosad	mosad.sentences:62	1	1	0	1	22	תביעה-חלקית
ג·mosad	mosad.sentences:63	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:65	1	0	0	1	27	ישות-בלי-שקע
ג·mosad	mosad.sentences:66	2	1	0	2	40	תביעה-חלקית/אין-ישות
ג·mosad	mosad.sentences:67	1	1	0	1	24	תביעה-חלקית
ג·mosad	mosad.sentences:68	1	0	0	1	14	אין-ישות
ג·mosad	mosad.sentences:69	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:70	1	1	0	1	21	תביעה-חלקית
ג·mosad	mosad.sentences:71	1	1	0	1	33	תביעה-חלקית
ג·mosad	mosad.sentences:72	1	0	0	1	15	ישות-בלי-שקע
ג·mosad	mosad.sentences:73	1	0	0	1	7	אין-ישות
ג·mosad	mosad.sentences:74	1	0	0	1	13	אין-ישות
ג·mosad	mosad.sentences:75	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:76	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:77	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:78	1	0	0	1	13	ישות-בלי-שקע
ג·mosad	mosad.sentences:79	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:80	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:81	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:82	1	0	0	1	11	ישות-בלי-שקע
ג·mosad	mosad.sentences:83	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:84	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:85	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:86	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:87	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:88	1	1	0	1	28	תביעה-חלקית
ג·mosad	mosad.sentences:89	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:90	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:92	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:93	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:94	1	1	0	1	28	תביעה-חלקית
ג·mosad	mosad.sentences:95	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:96	1	0	0	1	15	אין-ישות
ג·mosad	mosad.sentences:97	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:98	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:99	2	0	0	2	18	ישות-בלי-שקע/אין-ישות
ג·mosad	mosad.sentences:100	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:101	1	0	0	1	9	ישות-בלי-שקע
ג·mosad	mosad.sentences:102	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:103	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:104	1	1	0	1	22	תביעה-חלקית
ג·mosad	mosad.sentences:105	1	0	0	2	15	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ג·mosad	mosad.sentences:106	1	1	0	1	21	תביעה-חלקית
ג·mosad	mosad.sentences:107	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:108	1	0	0	1	8	אין-ישות
ג·mosad	mosad.sentences:109	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:110	1	0	0	1	15	אין-ישות
ג·mosad	mosad.sentences:111	2	0	0	2	16	ישות-בלי-שקע/אין-ישות
ג·mosad	mosad.sentences:113	1	1	0	1	26	תביעה-חלקית
ג·mosad	mosad.sentences:114	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:115	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:116	1	0	0	1	9	אין-ישות
ג·mosad	mosad.sentences:117	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:118	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:119	1	1	0	1	24	תביעה-חלקית
ג·mosad	mosad.sentences:120	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:121	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:122	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:123	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:124	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:125	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:126	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:127	4	0	0	4	15	אין-ישות
ג·mosad	mosad.sentences:128	1	0	0	1	14	ישות-בלי-שקע
ג·mosad	mosad.sentences:129	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:130	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:131	1	0	0	1	6	אין-ישות
ג·mosad	mosad.sentences:132	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:133	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:134	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:136	1	0	0	1	17	אין-ישות
ג·mosad	mosad.sentences:137	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:138	1	0	0	1	11	ישות-בלי-שקע
ג·mosad	mosad.sentences:139	1	0	0	2	15	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ג·mosad	mosad.sentences:140	1	1	0	1	16	תביעה-חלקית
ג·mosad	mosad.sentences:141	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:142	1	0	0	1	14	ישות-בלי-שקע
ג·mosad	mosad.sentences:143	1	0	0	1	8	אין-ישות
ג·mosad	mosad.sentences:144	1	0	0	1	12	אין-ישות
ג·mosad	mosad.sentences:145	1	0	0	1	12	אין-ישות
ג·mosad	mosad.sentences:146	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:148	2	1	0	2	32	תביעה-חלקית/אין-ישות
ג·mosad	mosad.sentences:149	1	0	0	1	5	אין-ישות
ג·mosad	mosad.sentences:150	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:151	1	1	0	1	27	תביעה-חלקית
ג·mosad	mosad.sentences:152	1	0	0	1	13	ישות-בלי-שקע
ג·mosad	mosad.sentences:153	1	0	0	1	10	ישות-בלי-שקע
ג·mosad	mosad.sentences:154	2	0	0	2	12	ישות-בלי-שקע/אין-ישות
ג·mosad	mosad.sentences:155	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:156	1	1	0	1	23	תביעה-חלקית
ג·mosad	mosad.sentences:157	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:158	2	0	0	2	14	אין-ישות
ג·mosad	mosad.sentences:159	1	1	0	1	27	תביעה-חלקית
ג·mosad	mosad.sentences:161	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:162	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:163	1	0	0	1	10	ישות-בלי-שקע
ג·mosad	mosad.sentences:164	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:165	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:166	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:167	1	0	0	1	14	אין-ישות
ג·mosad	mosad.sentences:168	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:169	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:170	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:171	1	0	0	3	14	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ג·mosad	mosad.sentences:172	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:173	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:174	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:175	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:176	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:177	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:178	2	0	0	2	16	ישות-בלי-שקע/אין-ישות
ג·mosad	mosad.sentences:179	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:181	1	0	0	1	11	אין-ישות
ג·mosad	mosad.sentences:182	1	0	0	1	9	אין-ישות
ג·mosad	mosad.sentences:183	2	0	0	3	18	אגרגציה-בלי-אות-סימן/אין-ישות/ישות-בלי-שקע
ג·mosad	mosad.sentences:184	2	0	0	2	11	אין-ישות
ג·mosad	mosad.sentences:185	1	1	0	1	27	תביעה-חלקית
ג·mosad	mosad.sentences:186	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:187	1	1	0	1	14	תביעה-חלקית
ג·mosad	mosad.sentences:188	1	0	0	1	11	ישות-בלי-שקע
ג·mosad	mosad.sentences:189	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:190	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:191	1	0	0	1	12	אין-ישות
ג·mosad	mosad.sentences:192	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:193	1	0	0	1	14	אין-ישות
ג·mosad	mosad.sentences:194	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:195	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:197	1	0	0	1	14	אין-ישות
ג·mosad	mosad.sentences:198	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:199	1	0	0	1	15	ישות-בלי-שקע
ג·mosad	mosad.sentences:200	1	0	0	1	10	אין-ישות
ג·mosad	mosad.sentences:201	1	0	0	1	9	אין-ישות
ג·mosad	mosad.sentences:202	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:203	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:204	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:205	1	0	0	2	10	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ג·mosad	mosad.sentences:206	1	0	0	1	7	אין-ישות
ג·mosad	mosad.sentences:207	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:208	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ג·mosad	mosad.sentences:209	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
